Tweet,Location,date,hours,minuites
 اتصالات شركه نصابه وبتضحك ع العملاء ومفيش اي استعناء بالعميل والشكاوي وكمان مبالغ المفروض تترد لينا الشركه شهر فبراير لحد اليوم ما رجعت ولا اي حد اهتم بأي شكوي قدمناها ,"Cairo, Egypt",2022-05-26,12,00:00:00
 ممكن التواصل معي الخاص أجل تقديم شكوى ف شركة اتصالات مصر ,"Cairo, Egypt",2022-05-23,20,00:00:00
 ممكن التواصل الخاص تكرمتم ,"Cairo, Egypt",2022-05-23,19,00:00:00
 عايز الايميل الرسمي بتاعكم انتوا الإمارات ينفع سيادتكم تقوله ولا لازم طريق الفرع ,"Cairo, Egypt",2022-05-23,19,00:00:00
 اتصالات مصر معندهاش ايميل لتلقي الشكاوي وبتقولك أقوى شبكة ف مصر ,"Cairo, Egypt",2022-05-23,19,00:00:00
 مفيش ايميل انت بتهزر ,"Cairo, Egypt",2022-05-23,19,00:00:00
 بعد اذنكم اريد الايميل الرسمي الخاص لتقديم الشكوى ف لان هناك صعوبات كتير وغياب احترافية وكفاءة لاتصالات مصر وتضطرنا كثيرا ,"Cairo, Egypt",2022-05-23,19,00:00:00
 للأسف شركة اتصالات المفروض يعني كله اونلاين يقولك لازم ورقة وتمضي وشغل طوابير بالساعات ليه معرفش ناس عجيبة اقسم بالله ,"Cairo, Egypt",2022-05-23,18,00:00:00
 أقوى شبكة ف مصر ف عدم خدمة عملائها ف مصر ,"Cairo, Egypt",2022-05-23,18,00:00:00
 وده مش ازعاج يافندم الازعاج الحقيقي اني أقف ف الشمس بال اربع خمس ساعات عشان إجراء مش هيكمل حاجة طريق الاتصال بيكم تليفونيا هنا اونلاين طريق ,"Cairo, Egypt",2022-05-23,18,00:00:00
 هل ده يرضيكم ولا ابعت ايميل رسمي بكدة ,"Cairo, Egypt",2022-05-23,18,00:00:00
 برجاء الرد ,"Cairo, Egypt",2022-05-23,18,00:00:00
 علفكرا انا زهقت منكو الشبكه ,"Cairo, Egypt",2022-05-22,19,00:00:00
 تويتر عرف منين اني اتصالات طلعلي التويتة دي التايم ,CAI,2022-05-28,11,00:00:00
 موقع واحد لا يمثل شخص الشمس موقع واحد خريطه مليانه مواقع اتصالات ف كلامي فوق طاقة القوس كعلامة فلكيه بدون اي اضافات ,"Cairo, Egypt",2022-05-28,11,00:00:00
 الثور هو بيت البنوك والعملات والتعاملات المالية فاكيد هنسمع صفقات كبيرة وربما نشوف زيادة قيمة بعض العملات مقابل انخفاض عملات تانية وانتعاش سوق الدهب وربما زيادات انخفضات مفاجئة سعر بعض السلع النفط والمعادن وعملات البيتكوين الشهر حسب اتصالات الزهرة ,"Giza, Egypt",2022-05-28,9,00:00:00
 عمرى ماقولت نفسى انى مهندس اتصالات دفعه ولا اى حاجه وبتعامل البشر عادى ,"القاهرة, مصر",2022-05-27,19,00:00:00
 يبقى الفيديو مش هايفرق أصلا ده حالة فضلوا مكانهم ممكن يكون خطوة تعتعتهم بعد إتصالات الشمسى اللى هم بيخالفوا أوامره وأظن مصر كلها مش بيراميدز بس محتاجة الجوز دول يغوروا بيراميدز ,"Cairo, Egypt",2022-05-27,19,00:00:00
 اتصالات ,"Giza, Egypt",2022-05-27,18,00:00:00
 دورة التدقيق اللغوي الزووم جنيها فقط للمصريين دولار للعرب ادفع المبلغ فودافون كاش اتصالات كاش هذا الرقم وللعرب ادفع المبلغ ويسترن يونيون بلدك باسم ,القاهرة ,2022-05-27,15,00:00:00
 حد مهتم بارقام مميزه اتصالات ,Cairo,2022-05-27,12,00:00:00
 انت عارف ان الجمرك موقفة مفتاح سيارة فولفو استبدال بقاله شهور علشان قالك لابد فحض لجنة اتصالات علشان المفتاح ده بيتصل بالسيارة بعد المصيبة انهم مش بيعرضوا المفتاح اي لجنة وبيدفعوها كمان صاحب السيارة ارضية ,"Cairo, Egypt",2022-05-27,11,00:00:00
 الصفقه تمت وصفقات تاني هتم وامريكا بتعمل تحسين تعاونها مصر والسودان تم تعين السفير وقريبا اتصالات اعلي المستويات والرئيس البرهان المرشح الابرز وهو اللي هيبقي الريس فالمستقبل وغصب عين أمريكا وأوروبا لان القرار للشعب والاخوان مش هيسكتوا لأنهم تعودوا النباح ,Cairo_Egypt,2022-05-27,9,00:00:00
 طبانتوا بتنزلوا تعملوا اتصالات ولا بتعملوا ايه ,Giza,2022-05-27,2,00:00:00
 المسؤول قطع الانترنت هو المسؤول قطع اتصالات الداخليه والراجل خايف يقول مين المسؤول ,Cairo,2022-05-26,23,00:00:00
 مطلوب لشركة سكاي مهندسين اتصالات حديثي التخرج للتدريب بمشروع التركيبات تدريب مدفوع الاجر للتواصل ,Egypt - Cairo,2022-05-26,10,00:00:00
 تكريم اتصالات مصر باحتفالية لدورها دعم جهود الرقمنة ,"Cairo, Egypt",2022-05-26,9,00:00:00
 اتصالات مصر تستهدف إتاحة خدماتها للشركات الصغيرة ومتناهية الصغر ,"Cairo, Egypt",2022-05-26,9,00:00:00
 اي حد أندرويد ومعاه خط اتصالات يجي ,Cairo,2022-05-26,2,00:00:00
 اللي يشوف شبكة فودافون يعرف قيمة اتصالات ,"Cairo, Egypt",2022-05-25,21,00:00:00
 عاجل صحيفة يسرائيل هيوم أعقاب التهديدات التي أطلقها زعيم حزب الله ومنظمات فلسطينية تجري الآن اتصالات لمنع التصعيد خاصة بين إسرائيل ومصر والأمم المتحدة تشارك قطر نقل رسائل تهديد غزة تل أبيب ,"Cairo, Egypt",2022-05-25,19,00:00:00
 رجعتني لايام ما كنت بدرس اتصالات الله لا يعدها ايام عايزه اقولك ان جوا مبني ڤودافون نفسه اوقات مش بيبقي شبكه ,"Cairo, Egypt",2022-05-25,17,00:00:00
 اتصالات بين أشرف صبحي ووزير الرياضة المغربي والخطيب للتنسيق بينهم قبل نهائي إفريقيا ,"Giza, Egypt",2022-05-25,7,00:00:00
 بحس اتصالات مديناني بجد ,"Cairo, Egypt",2022-05-24,21,00:00:00
 عــــاجــل أجرى رئيس حكام الدوري مايك رايلي اتصالات شخصية كل رئيس إيفرتون والمدير فرانك لامبارد للاعتذار بعد قرار حكم الفيديو المساعد بعدم منح النادي ضربة جزاء ضد مانشستر سيتي طب اسال كيف تفوز بالدورى قبل لا تقول داعس ,"القاهرة, مصر",2022-05-24,15,00:00:00
 كلهم حزمة واحدة زي حزمة الفجل هناك اتصالات دائمة عاجلة لمسح التويتة الاعتذار سبق السيف العزل راح لن يعود مهما قال فعل ,"Cairo, Egypt",2022-05-24,14,00:00:00
 الأهلي يتلقى اتصالات سيمبا التنزاني لاستعادة ميكيسوني الصيف ,"القاهرة, مصر",2022-05-24,7,00:00:00
 إطلاق خدمة التوقيع الإلكتروني عبر منصة توقيعي بالشراكة بين اتصالات وفكسيد مصر ,"Cairo, Egypt",2022-05-24,2,00:00:00
 شركة اتصالات مصر اتخنقنا الرسالة الرذلة إللي بتظهر كل شوية شاشة الموبايل ليك ميجا بخمسين قرش ,Cairo,2022-05-23,22,00:00:00
 شوفي حلقة الدحيح الاهرامات موجودة اتصالات وموجودة الانترنت ,"Cairo, Egypt",2022-05-23,22,00:00:00
 اتصالات شافوا نجاح مسلسل راجعين يا هوى قاموا مرجعين اعلان خالد النبوي ,"Cairo, Egypt",2022-05-23,21,00:00:00
 أقوى شركة اتصالات ف مصر وعندهم طوابير بالمئات ع فروعهم ورافضين يقدموا الخدمة اونلاين بالتليفون حاجة عجيبة جدا وللله ,"Cairo, Egypt",2022-05-23,20,00:00:00
 هيتم اونلاين يافندم لان والدي سنة حاجة متخيل يعني ايه يقف طوابير بالساعات عشان سيادتكم ماشين باجراءات عفى الزمن انتوا اتصالات يعني الكترونيكس ,"Cairo, Egypt",2022-05-23,18,00:00:00
 يا فندم اي خدمة بعملها ع التليفون النت احنا ف القرن الواحد والعشرين مستحيل إجراء زي ديه ميكونش ع النت والفروع عندكم زحمه جدا جدا ولا تفي بالاعداد مش لازم نشتكي للشركة اتصالات امارات يعني انكم أقوى شبكة ومش قادرة تعمل إجراء بسيط زي ده ,"Cairo, Egypt",2022-05-23,18,00:00:00
 ده بتوع اتصالات ليهم الجنة انهم مستحملين ده كله والله ,"Cairo, Egypt",2022-05-23,18,00:00:00
 برلماني اتصالاتالنواب توافق موازنة البريد بـ مليار جنيه ,"Cairo, Egypt",2022-05-23,15,00:00:00
 والله اتصالات دي حواراتها كبرت ,"Cairo, Egypt",2022-05-23,11,00:00:00
 اليوم بوصل بدري معادي قبل صحابي بشلهم اتصالات كل دقيقتين وتهزيق حين اني لما بتأخر وده المعتاد بقفل موبايلي عشان محدش يدوشني ,"Cairo, Egypt",2022-05-23,10,00:00:00
 هندسة حاسبات اتصالات بشتغل ,Cairo,2022-05-22,19,00:00:00
 عرفت ليه كانوا بيقولولي متدخليش اتصالات ,"Cairo, Egypt",2022-05-22,17,00:00:00
 الواحد بجد كل ما يذاكر ماده تبع اتصالات ويجي يحل اكنه كان بيذاكر تاريخ مثلا وجه يحل ماث ,"Cairo, Egypt",2022-05-22,17,00:00:00
 العلامات الاخري الكذب بخصوص الحالة المادية للحصول تخفيض غير مستحق بعض المعالجين العيادات توفر خصومات للطلاب غير القادرين ماديا اتصالات بشكل مستمر خارج مواعيد العمل أوقات متأخرة يعتبر هذا تعدي الخصوصية يخلق نمط اعتمادي بين متلقي المساعدة الطبيب ,"Cairo, Egypt",2022-05-22,15,00:00:00
 اى حد تارجت انت بتتعامل معاه ممكن يكون هو موظف بنك بتاع اتصالات واحد جوزها تارجت وهى اتش ار مثلا العكس سعات القهوجى بيبيع تليفونات الزباين اللى هو حاسس انهم معاهم فلوس الناس اللى شغلها تارجت بتتسأل الانترفيو هاتعرف تجبلنا كام عميل جديد هو لازم يتصرف ,"Egypt, Cairo",2022-05-22,13,00:00:00
 الأخبار اللى لسه طالعة ساعة إن ناصر الخليفى ف اتصالات مباشرة وكيل اعمال تشوامينى ,"Cairo, Egypt",2022-05-22,11,00:00:00
 راية تدرس الاستحواذ مراكز اتصالات دول ,"Cairo, Egypt",2022-05-22,11,00:00:00
 ومعانا اطفال الدراسه وزوجي كان يعمل مطور اعمال شركه ادويه ابن سينا ومندوب مبيعات اغذيه ومندوب اتصالات شركه فوري فضلك فضلك احنا تعبنا كتر مابندور شغل وعلي سفر كمان وربنا يجازيك كل الخير يارب العالمين ده رقمه ,Egypt - Cairo,2022-05-22,9,00:00:00
 أحيانا بيجيلي اتصالات موبايلي عند طريق الخطأ ودا وارد جدا بس الملفت الموضوع لما برد وبقول للأسف حضرتك طلبت رقم غلط يقوم يقولي شكرا بس ممكن أعرف انت مذيع قناة إيه استغرب السؤال أقوله اشمعنا يقولي عشان صوتك حس إخباري ياجماعة الله يجبر بخاطركم والله ,"القاهرة, مصر",2022-05-22,7,00:00:00
 معظم اتصالات المنافس تتكثف عند الدقيقة حاله التعادل الهزيمة تبدأ مدير الكرة ثم زيف زاهر ثم الاقوي شوبيز مابين رئيس الحكام الفار يتم الفوز خارج المستطيل حسب ماقال العراف عدلي القيعي بتصريحة لحظة توبة اما قبل المباراة طريق الظروف والشاي بالياسمين ,"Cairo, Egypt",2022-05-21,22,00:00:00
 علشان كام حاجه ضمنهم بيتكلف كام اتصالات الشهر ثم السنة وحاجات تانيه مقدرش معلش آسف ,"القاهرة, مصر",2022-05-21,17,00:00:00
 مطلوب لشركة افرو ايجيبت خبرة بمشاريع اريكسون بمشاريع تركيبات وصيانة بالقاهره والدلتا مهندسين اتصالات موقع راديو ترانسميشن ريجرات وفنين تليكم راديو ترانسميشن مشرف موقع راديو ترانسميشن برجاء التواصل واتساب ,Egypt - Cairo,2022-05-21,12,00:00:00
 هو امتى ربنا هيتوب ونلاقي شركة محترمه غير اللي موجودين السوق اولهم اتصالات بدل ما تدفعوا فلوس اعلانات نظفوا نظامك نصب نصب كميه سحب فلوس ورصيد متعرفش هى بتروح فين ده الخط عفريت مش هيحصل كده يتوب ربنا ,cairo,2022-05-21,11,00:00:00
 النظام الابوي والامومي انتا اتصالات ولا فودافون يا صاحبي ,cairo,2022-05-20,17,00:00:00
 حاتم دويدار اتصالات تدرس استثمارات مشتركة فودافون بعد شراءها حصة الـ ,"Cairo, Egypt",2022-05-20,16,00:00:00
 مطلوب للتعيين للعمل مشروع فودافون عدد خبره الأقل سنتين عدد مهندس اتصالات خبره سنه ثلاث سنوات رواتب مجزيه بدلات سفر حوافز تأمين صحي واجتماعي يرجي ارسال ال ,Egypt - Cairo,2022-05-20,9,00:00:00
 مطلوب مهندس كهربائي خريج قسم اجهزه تحكم آلي بور اتصالات مصنع بلاستيك العنوان طنطا الغربيه بشرط أن يكون بجوار المحافظه للتواصل ,Egypt - Cairo,2022-05-20,9,00:00:00
 معاك عندك تليفونك أدخل تنزيل ماي إتصالات وإستمتع كل حاجات الترفيهية ,"القاهرة, مصر",2022-05-20,4,00:00:00
 صفحة مظلمة العاهل الأردني يوجه بتقييد اتصالات الأميرحمز ,"Cairo, Egypt",2022-05-20,2,00:00:00
 شعري لونه وانتوا ,Cairo,2022-05-28,4,00:00:00
 دول شوية اغبيا بعض اتجمعوا مكان واحد ,"Cairo, Egypt ",2022-05-27,14,00:00:00
 يا استاذ جميل انا مش عارف اتواصل الراجل بسبب انه طول النت مش شغال والشبكة واقعة ,"Cairo, Egypt",2022-05-27,4,00:00:00
 سمحت انا خطي وعايز احول ايه الخطوات ممكن اعملها ,"Cairo, Egypt",2022-05-27,3,00:00:00
 بعيد المحتوى انا مبسوطة ان لسة حد غيري فالبلد ,"Cairo, Egypt",2022-05-27,1,00:00:00
 الشركة الفاشلة بتسئلني رقم التليفون علشان تشوف المشكلة م انا بعت ليهم رقم التليفون والشكاوى اللي بقالها سنتين ولم يتم حلها م بعد كدة رد شركة فاشلة وشركة زبالة ,"القاهرة, مصر",2022-05-26,21,00:00:00
 كل الاستفسارت عندكم رقمي والمشكلة وارقام الشكاوي الفقرة اللي جاية حنزل صور الشات اللي بيني وبينكم وتسجيل المكالمات ,"القاهرة, مصر",2022-05-26,20,00:00:00
 انتو شركة فاشلة عادي جدا بقالي سنتين عايز الغي الرسائل الدعائية والاعلانية وكل شوية يوم يوم ولا جديد ,"القاهرة, مصر",2022-05-26,20,00:00:00
 ياريت حد يرد ,"Egypt , Giza ",2022-05-25,18,00:00:00
 حالة وجود مشكلة يمكنكم التواصل وتسجيل شكواكم طريق رقم ملاء استمارة ببيانات الشكوي الرابط التالي ,"Cairo, Egypt",2022-05-25,9,00:00:00
 فكرة ممتازه تجربه شخصيه ,"القاهرة, مصر",2022-05-24,2,00:00:00
 انتوا حرامية وكلمتكم بعت ميل قاعد الصحرا معييش رصيد نت بسببكم ,cairo,2022-05-23,8,00:00:00
 عندي مشكلة خط التفاصيل ,"Cairo, Egypt",2022-05-22,11,00:00:00
 برجاء التواصل وتسجيل شكواكم طريق رقم ملاء استمارة ببيانات الشكوي الرابط التالي ,"Cairo, Egypt",2022-05-21,20,00:00:00
 اشتريت خط جديد يومين ولسه متفعلش لحد دلوقتي عاوز أفعله ,"Cairo, Egypt",2022-05-20,19,00:00:00
 استاذه الاد استاذه نوران ياريت حضرتك عندك تواصل المسؤلين المكان تبلغيهم انه ماينفعش يكون موظفه واحده بتبيع خطوط موبايلات فلاشات سماعات تاخد الفلوس تصور ورق تمضي العميل ماينفعش كده كل عمليه بتاخد ساعه ,Cairo,2022-05-20,10,00:00:00
 حضرتك انا ماعنديش مشكله شخصيه انا بتكلم عموما الفرع مول مصر ليه موظفه واحده فقط الغرفه خلفها موظفين خارجين داخلين يطلع يقعد يتفرج الناس يلعب موبيل يدخل تاني هي دي مشكلتي المنظر العام للفرع التعامل الناس ,Cairo,2022-05-20,10,00:00:00
 موظفه واحده بقالها ساعه عميل اجنبي بيشتري شريحه داتا موظف تاني قاعد بيلعب الموبيل الناس قاعده منتظره دورها اورانج خدمه العملاء اسواء حاجه مصر ,Cairo,2022-05-20,10,00:00:00
 اكتشفت ان مسلسل أبواب الخوف بيتعرض بانوراما دراما ,cairo,2022-05-20,3,00:00:00
 حاجة تضحك شوية ان واحدة خدمة عملاء اورانج اتعصبت عشان صوتي بيقطع مفيش شبكة عندي ,"cairo,Egypt",2022-05-28,9,00:00:00
 سمسم اورانج ,"القاهرة, مصر",2022-05-27,21,00:00:00
 كنت بلم فلوس مؤتمر ضايف رقمي اورانج كاش للي عايز يدفع حد رجولة الفلوس رصيد ,"Cairo, Egypt",2022-05-27,19,00:00:00
 ده بيانات رامي فهيم نجل وزيرة الهجرة وقت دخوله السجن بعد القبض يوم ابريل الماضي هو مذكور بياناته المدونة بالسجن وقت دخوله السلطات المصرية سعت للتدخل الدبلوماسي محاولة لاحتواء الأزمة فشلت الآن المحكمة العليا لمقاطعة أورانج كاونتي بكاليفورنيا ,"القاهرة, مصر",2022-05-26,21,00:00:00
 ياجماعة لا تردوا مكالمات جهات غير معلومةهتلاقوا ارقام المالديڤ وبلچيكا كل دول هاكرز ولا تردوا رسالة فرص العمل امازوندول نصابين ولا تتعاملوا اي مكالمة عادية يقولك احنا فودافون اورانج اوغيره ولا مكالمات البنوك اللي تقولك تحديث بيانات ربنا يحمي الكل ,القاهرة,2022-05-24,11,00:00:00
 أورانج شركة فرنسية أورانج مصر شركة مساهمة مصرية ,"Cairo, Egypt",2022-05-24,11,00:00:00
 لقد تجاوزنا مرحلة الهبد مرحلة الفانتازيا السوداء بطلوا تخريف عته شركة اورانج دخلت السوق المصري بعد ,"Cairo, Egypt",2022-05-24,3,00:00:00
 البنات الستات المول كلهم لابسين يا أخضر يا اورانج ,"Cairo, Egypt",2022-05-21,20,00:00:00
 طلعت اورانج ,Somewhere in the world ,2022-05-21,1,00:00:00
 ابليكشن اورانج دا أحقر ابليكشن لشبكة ممكن تجربه دا بعيدا كون الشبكة سيئة فالعموم ,"Cairo, Egypt",2022-05-20,22,00:00:00
 اورانج لاند يارب ,"القاهرة, مصر",2022-05-20,21,00:00:00
 لا والراجل الكبير اللي لابس اورانج بيضربها برجله وجه واحد لابس اورانج تخين بيحاول يسحب البنت الصغيرة وبرده بيدوس اللي بيسلك راجل لابس ابيض كبير وواحد الجنب ,"Cairo, Egypt",2022-05-20,17,00:00:00
 اهلا بيكي ممكن الاستعلام الرصيد تفاصيل استخدام الباقة الكود بـ قرش ببلاش انظمة فليكس اول مرات اليوم وبعدها بـ قروش حسابك موقع فودافون تطبيق انا فودافون ,"Cairo, Egypt",2022-05-28,13,00:00:00
 قاعد ماسك التليفون مخنوق فودافون ,"Cairo, Egypt",2022-05-28,13,00:00:00
 فودافون كاش ,"القاهرة, مصر",2022-05-28,11,00:00:00
 حد فودافون عندو مشكله ف الانترنت ولا أنا بس ,"Cairo, Egypt",2022-05-27,22,00:00:00
 اشترك الان جدد اشتراكك سيرفر مصراوى سات العملاق السعر لداخل مصر شهور بــ جنيه السنه بــ جنيه طرق الدفع لداخل مصر بدون رسوم تحويل محفظه فودافون كاش رقم ,"القاهرة, مصر",2022-05-27,21,00:00:00
 هى خدمة عملاء فودافون راحت فين مش عارف اتواصل حد ليه ,cairo,2022-05-27,21,00:00:00
 اهلا بيك ممكن الاستعلام الرصيد تفاصيل استخدام الباقة الكود بـ قرش ببلاش انظمة فليكس اول مرات اليوم وبعدها بـ قروش تطبيق انا فودافون اللينك ده ,"Cairo, Egypt",2022-05-27,18,00:00:00
 شغل اون لاين للطلاب والسحب فودافون كاش الربح الانترنت والسحب فودافون كاش ,"Cairo, Egypt",2022-05-27,18,00:00:00
 كوبونات خصم مسار تطوير تطبيقات الاندرويد الصفر نظرا لارتفاع سعر الدولار مؤخرا واحتمال كبير بكرا يوصل جنية فقررت ااقلل تكلفة الكورسات شوية دعما للشباب واللي عايز يدفع فودافون كاش يكلمني خاص ,"Cairo, Egypt",2022-05-27,13,00:00:00
